City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
477,anloga,5.7947,0.8973,302.3,72,94,5.96,GH,1680452268
478,sistranda,63.7256,8.834,279.13,68,84,4.23,NO,1680452268
479,mahon,39.8885,4.2658,288.46,47,20,7.2,ES,1680452119
480,baicheng,45.6167,122.8167,289.77,19,100,9.18,CN,1680452268
481,pacific grove,36.6177,-121.9166,284.47,88,100,6.71,US,1680452268
482,baykit,61.67,96.37,268.03,90,100,4.89,RU,1680452268
483,jiexiu,37.0244,111.9125,287.23,79,100,1.12,CN,1680452268
484,chakulia,22.4833,86.7167,301.12,51,62,4.54,IN,1680452269
485,wana,32.2989,69.5725,286.73,80,83,1.06,PK,1680452269
486,teguise,29.0605,-13.564,296.27,50,20,11.83,ES,1680452269
487,avera,33.194,-82.5271,294.21,44,51,2.03,US,1680452269
488,altay,47.8667,88.1167,263.81,41,29,5.63,CN,1680452269
489,macusani,-14.0833,-70.4333,283.02,53,74,2.65,PE,1680452269
490,hudson bay,52.85,-102.3842,265.66,89,100,6.88,CA,1680452270
491,madinat sittah uktubar,29.8167,31.05,298.93,18,0,3.06,EG,1680452270
492,pozo colorado,-23.4923,-58.7972,307.19,40,0,2.23,PY,1680452270
493,makokou,0.5738,12.8642,301.86,60,70,1.16,GA,1680452270
494,kabo,7.6994,18.629,310.44,20,46,2.21,CF,1680452270
495,jha jha,24.7667,86.3667,300.35,30,26,2.67,IN,1680452270
496,arani,12.6667,79.2833,300.4,72,35,2.68,IN,1680452270
497,mataram,-8.5833,116.1167,298.6,84,100,1.79,ID,1680452272
498,balad,34.0164,44.1453,291.9,33,4,3.15,IQ,1680452272
499,rio gallegos,-51.6226,-69.2181,285.37,52,1,8.05,AR,1680452201
500,vallenar,-28.5708,-70.7581,300.24,45,0,2.64,CL,1680452273
501,tebingtinggi,3.3285,99.1625,297.47,92,100,1.66,ID,1680452273
502,bilma,18.6853,12.9164,304.42,4,100,2.75,NE,1680452273
503,oktyabrskiy,54.4815,53.471,278.6,77,94,2.61,RU,1680452273
504,gondar,12.6,37.4667,294.34,18,67,4.87,ET,1680452274
505,zabaykalsk,49.6333,117.3167,267.64,84,99,10.91,RU,1680452274
506,khanpur,28.6453,70.6567,302.18,31,0,1.38,PK,1680452274
507,keti bandar,24.1447,67.4497,298.54,74,6,7.04,PK,1680452274
508,quatre cocos,-20.2078,57.7625,299.87,81,93,2.8,MU,1680452274
509,panzos,15.4,-89.6667,302.81,56,46,1.91,GT,1680452275
510,fare,-16.7,-151.0167,300.9,71,89,2.61,PF,1680452275
511,karratha,-20.7377,116.8463,301.72,71,88,3.57,AU,1680452275
512,beloha,-25.1667,45.05,295.36,84,71,5.21,MG,1680452275
513,garowe,8.4054,48.4845,305.29,41,26,4.55,SO,1680452275
514,tual,-5.6667,132.75,300.44,79,98,2.54,ID,1680452275
